,text,label
0,RT Texas abortion ruling is a 'disaster' for the rule of law disguised as a 'fig leaf': Laurence Tribe ,0
1,Kruger has literally done nothing here other than describe the nature of abortion politics in the UK over the last 50 years,0
2,"RT I had asked a pro-life person earlier, why do pro-life red states have highest infant mortality rates? Babies being born & letting them die, isnt ProLife.",1
3,RT Um. Republicans simply AREN'T Pro-Life. That is the answer.,1
4,"RT Turns out "" pro-lifers"" aren't so pro-life after all ",1
5,Why should anyone have kids if they don't have the means to provide for them? The bible thumping anti-abortion people don't give a crap about kids born to ignorant parents.,1
6,"RT What we NEED now: - permanent protection of reproductive freedom (Roe V. Wade) - permanent protection of free education for children, including undocumented immigrants (Plyler v.Doe) - protection of the trans community - cancel student loan debt - better politicians",2
7,RT Wanna support abortion access AND have a good old time? Come to the fundraiser on Saturday and bring your dollar bills!! ,2
8,"RT Abortion will never become unthinkable. Your movement will fail. Abortion is normal, natural Healthcare and as long as pregnancy exists so will abortion. The majority are prochoice",2
9,"RT I watched a documentary about tipping points of crime, one big factor for the decrease in crime in the 90s is Roe v Wade. Less unwanted children were forced into the world to be neglected and shaped into criminals. It's a 16-18 year arch from legalized abortion to drop in crime",2
10,You are over simplistic Women get abortion for many reasons Still you continue to pass moral judgement Before was sex now money the blame for abortion Repeat it is not your busines I got you have a moral issue It is for you to resolve not to impose it on others,2
11,"Yet it's the cheapest and most effective way to prevent pregnancy besides not having sex, and definitely better then have a abortion. If you don't want to get pregnant it's the responsible thing to do.",-1
12,"what the fuck r u talking abt.. do u know what being conservative is.. its not abt drinking, partying, and sex.. sk (the government) is opposed to same sex marriage, abortion, etc the rights for women in sk rnt even equal. women still get discriminated over there.",1
13,"RT During her visit Ms. Shoko Arakaki, UNFPA Humanitarian Director met with partners to discuss scaling up interventions to ensure reproductive health, rights and protection of women and girls from gender-based violence as part and parcel of preparedness and response to emergencies ",2
14,"RT Repro workers have been very clear about whats needed in this moment! Donate to abortion + practical support funds. Sign up to volunteer with your local clinic or fundif it takes them a bit to get back to you, stay steady, stay patient Follow the folks whove been leading! ",2
15,RT Great piece about the history of medication abortion and all the regulations surrounding it. ,0
16,I have sympathy for them but it accounts for less than 3% of abortions. Birth control prevents back door abortions. It taking responsibility before having sex. I wasn't ready to be a dad at 20 but I took responsibility for unprotected sex & have a wonderful 32 year old son.,-1
